report_date,campaign_id,campaign_name,currency,spend,net_cost,impressions,destination_clicks,clicks,conversions,purchase_count,purchase_value,cta_purchase_count,evta_purchase_count,vta_purchase_count,cta_purchase_value,evta_purchase_value,vta_purchase_value,platform_roas,cta_purchase_roas,evta_purchase_roas,vta_purchase_roas,source_file,attribution_window_note
2026-04-28,1854347729644690,음과검 스마트+ 캠페인,KRW,248187,248187,67907,556,556,4,4,991300,0,0,3,0,0,0,3.99416568958084,3.99,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-28,1854918885396689,종합대사기능 분석 스마트+캠페인,KRW,133102,133102,75840,173,173,1,1,245000,0,0,1,0,0,0,1.8406936034019024,1.84,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-28,1856156648605858,영양중금속분석 스마트+ 캠페인,KRW,58949,58949,60161,1446,1446,2,2,630800,1,0,1,0,0,0,10.70077524639943,10.7,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-28,1856728035726529,호르몬 검사 캠페인,KRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-28,1858788275666081,건강기능식품 스마트+캠페인,KRW,60647,60647,46377,1591,1591,2,2,468000,1,0,1,0,0,0,7.716787310171979,7.72,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-29,1854347729644690,음과검 스마트+ 캠페인,KRW,80430,80430,17180,234,234,1,1,234000,0,0,1,0,0,0,2.909362178291682,2.91,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-29,1854918885396689,종합대사기능 분석 스마트+캠페인,KRW,50068,50068,26955,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-29,1856156648605858,영양중금속분석 스마트+ 캠페인,KRW,19996,19996,3527,498,498,1,1,245000,1,0,0,0,0,0,12.25245049009802,12.25,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-29,1856728035726529,호르몬 검사 캠페인,KRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
2026-04-29,1858788275666081,건강기능식품 스마트+캠페인,KRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,api/20260428_20260501_daily_campaign.csv,"TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; VTA count uses vta_complete_payment when available, CTA count uses cta_purchase or cta_conversion fallback."
