그로스팀_처리상태,그로스팀_담당자,그로스팀_수정완료일,그로스팀_실제_campaign_alias,그로스팀_비고,문제유형,문제사유,권장조치,오늘광고비_KRW,오늘노출,오늘클릭,캠페인명,캠페인ID,광고세트명,광고세트ID,광고명,광고ID,광고상태,effective_status,현재_랜딩URL_요약,현재_url_tags,현재_utm_source,현재_utm_medium,현재_utm_campaign,현재_utm_term,현재_utm_content,현재_utm_id,현재_campaign_alias,현재_meta_campaign_id,현재_meta_adset_id,현재_meta_ad_id,권장_URL_파라미터_고정ID,Codex_추천_campaign_alias
,,,,,P1_UTM누락,광고 소재/랜딩에서 UTM 또는 campaign_alias를 확인할 수 없음,URL 파라미터 또는 랜딩 URL에 Meta UTM/광고 ID/고유 별칭 추가,112346,4942,84,[바이오컴] 종합대사기능검사 전환캠페인(11/4~) - 사본,120237452088280396,종합대사기능검사 - 사본,120237452088100396,[연뜰살뜰x음과검종대사] 26.2.12-18 스토리,120240969187000396,ACTIVE,ACTIVE,www.instagram.com/p/DUo4buxjD3k/,,,,,,,,,,,,utm_source=meta&utm_medium=paid_social&utm_campaign=120237452088280396&utm_term=120237452088100396&utm_content=120240969187000396&utm_id=120237452088280396&campaign_alias=meta_biocom_연뜰살뜰x음과검종대사_26_2_12_18_스토리&meta_campaign_id=120237452088280396&meta_adset_id=120237452088100396&meta_ad_id=120240969187000396,meta_biocom_연뜰살뜰x음과검종대사_26_2_12_18_스토리
,,,,,P1_UTM누락,광고 소재/랜딩에서 UTM 또는 campaign_alias를 확인할 수 없음,URL 파라미터 또는 랜딩 URL에 Meta UTM/광고 ID/고유 별칭 추가,107926,3308,115,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897270396,음식물과민증검사_관심타겟_어드밴티지+,120235591897230396,[연뜰살뜰x음과검] 2차공구 - 사본,120237783487450396,ACTIVE,ACTIVE,www.instagram.com/p/DRiPe8zjAxp/,,,,,,,,,,,,utm_source=meta&utm_medium=paid_social&utm_campaign=120235591897270396&utm_term=120235591897230396&utm_content=120237783487450396&utm_id=120235591897270396&campaign_alias=meta_biocom_연뜰살뜰x음과검_2차공구_사본&meta_campaign_id=120235591897270396&meta_adset_id=120235591897230396&meta_ad_id=120237783487450396,meta_biocom_연뜰살뜰x음과검_2차공구_사본
,,,,,P1_UTM누락,광고 소재/랜딩에서 UTM 또는 campaign_alias를 확인할 수 없음,URL 파라미터 또는 랜딩 URL에 Meta UTM/광고 ID/고유 별칭 추가,78774,4966,189,공동구매 인플루언서 파트너 광고 모음_3 (260323),120242626179290396,인플루언서 공동구매 파트너 광고,120242626179270396,[송율x음과검] 04.08-04.15,120243537994960396,PAUSED,PAUSED,www.instagram.com/p/DGPGWn0sARs/,,,,,,,,,,,,utm_source=meta&utm_medium=paid_social&utm_campaign=120242626179290396&utm_term=120242626179270396&utm_content=120243537994960396&utm_id=120242626179290396&campaign_alias=meta_biocom_송율x음과검_04_08_04_15&meta_campaign_id=120242626179290396&meta_adset_id=120242626179270396&meta_ad_id=120243537994960396,meta_biocom_송율x음과검_04_08_04_15
,,,,,P0_동적값미치환_광고별칭템플릿,URL 파라미터에 {{campaign.id}} 또는 meta_biocom_광고별칭이 그대로 있음,URL 파라미터 위치 확인 후 숫자 ID 고정값 또는 정상 치환값으로 교체,69592,3649,109,meta_biocom_influencer_260506,120245003319500396,meta_biocom_iiari_260518,120245700952890396,meta_biocom_iiari_Igg_260518,120245701139440396,ACTIVE,ACTIVE,www.instagram.com/p/DS347PzjJlX/,utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&meta_site_source={{site_source_name}}&meta_placement={{placement}},meta,paid_social,{{campaign.id}},{{adset.id}},{{ad.id}},{{campaign.id}},meta_biocom_광고별칭,{{campaign.id}},{{adset.id}},{{ad.id}},utm_source=meta&utm_medium=paid_social&utm_campaign=120245003319500396&utm_term=120245700952890396&utm_content=120245701139440396&utm_id=120245003319500396&campaign_alias=meta_biocom_meta_biocom_iiari_igg_260518&meta_campaign_id=120245003319500396&meta_adset_id=120245700952890396&meta_ad_id=120245701139440396,meta_biocom_meta_biocom_iiari_igg_260518
,,,,,P1_UTM누락,광고 소재/랜딩에서 UTM 또는 campaign_alias를 확인할 수 없음,URL 파라미터 또는 랜딩 URL에 Meta UTM/광고 ID/고유 별칭 추가,55023,3754,104,[바이오컴] 음식물 과민증 검사 전환캠페인(10/14~),120213362391690396,음식물과민증검사_관심타겟,120213362391830396,[염증청소뿌X음과검] 상시릴스 1 - 사본,120235776731190396,ACTIVE,ACTIVE,www.instagram.com/p/DQJUMr9jPbN/,,,,,,,,,,,,utm_source=meta&utm_medium=paid_social&utm_campaign=120213362391690396&utm_term=120213362391830396&utm_content=120235776731190396&utm_id=120213362391690396&campaign_alias=meta_biocom_염증청소뿌x음과검_상시릴스_1_사본&meta_campaign_id=120213362391690396&meta_adset_id=120213362391830396&meta_ad_id=120235776731190396,meta_biocom_염증청소뿌x음과검_상시릴스_1_사본
,,,,,P1_UTM누락,광고 소재/랜딩에서 UTM 또는 campaign_alias를 확인할 수 없음,URL 파라미터 또는 랜딩 URL에 Meta UTM/광고 ID/고유 별칭 추가,50555,2195,64,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897270396,음식물과민증검사_관심타겟_어드밴티지+,120235591897230396,[연뜰살뜰] 스토리 6,120241010607940396,ACTIVE,ACTIVE,www.instagram.com/p/DUrtwbVjJGa/,,,,,,,,,,,,utm_source=meta&utm_medium=paid_social&utm_campaign=120235591897270396&utm_term=120235591897230396&utm_content=120241010607940396&utm_id=120235591897270396&campaign_alias=meta_biocom_연뜰살뜰_스토리_6&meta_campaign_id=120235591897270396&meta_adset_id=120235591897230396&meta_ad_id=120241010607940396,meta_biocom_연뜰살뜰_스토리_6
,,,,,P0_동적값미치환_광고별칭템플릿,URL 파라미터에 {{campaign.id}} 또는 meta_biocom_광고별칭이 그대로 있음,URL 파라미터 위치 확인 후 숫자 ID 고정값 또는 정상 치환값으로 교체,48924,1890,40,meta_biocom_influencer_260506,120245003319500396,meta_biocom_woo_260506,120245003319520396,meta_biocom_igg_woo_260506,120245003319510396,ACTIVE,ACTIVE,www.instagram.com/p/DX_mXc7jLbw/,utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&meta_site_source={{site_source_name}}&meta_placement={{placement}},meta,paid_social,{{campaign.id}},{{adset.id}},{{ad.id}},{{campaign.id}},meta_biocom_광고별칭,{{campaign.id}},{{adset.id}},{{ad.id}},utm_source=meta&utm_medium=paid_social&utm_campaign=120245003319500396&utm_term=120245003319520396&utm_content=120245003319510396&utm_id=120245003319500396&campaign_alias=meta_biocom_meta_biocom_igg_woo_260506&meta_campaign_id=120245003319500396&meta_adset_id=120245003319520396&meta_ad_id=120245003319510396,meta_biocom_meta_biocom_igg_woo_260506
,,,,,P1_UTM누락,광고 소재/랜딩에서 UTM 또는 campaign_alias를 확인할 수 없음,URL 파라미터 또는 랜딩 URL에 Meta UTM/광고 ID/고유 별칭 추가,48027,3364,27,[바이오컴] 음식물 과민증 검사 전환캠페인(10/14~),120213362391690396,음식물과민증검사_관심타겟,120213362391830396,[요즘픽X음과검] 상시 게시글 - 사본,120240056812400396,ACTIVE,ACTIVE,www.instagram.com/p/DTbrQl1DFeH/,,,,,,,,,,,,utm_source=meta&utm_medium=paid_social&utm_campaign=120213362391690396&utm_term=120213362391830396&utm_content=120240056812400396&utm_id=120213362391690396&campaign_alias=meta_biocom_요즘픽x음과검_상시_게시글_사본&meta_campaign_id=120213362391690396&meta_adset_id=120213362391830396&meta_ad_id=120240056812400396,meta_biocom_요즘픽x음과검_상시_게시글_사본
,,,,,P0_동적값미치환_광고별칭템플릿,URL 파라미터에 {{campaign.id}} 또는 meta_biocom_광고별칭이 그대로 있음,URL 파라미터 위치 확인 후 숫자 ID 고정값 또는 정상 치환값으로 교체,39757,2139,84,공동구매 인플루언서 파트너 광고 모음_3 (260323),120242626179290396,인플루언서 공동구매 파트너 광고,120242626179270396,[송율x음과검4] 04.08-04.15,120243537994940396,PAUSED,PAUSED,www.instagram.com/p/DH2l37RM8Mw/,utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&meta_site_source={{site_source_name}}&meta_placement={{placement}},meta,paid_social,{{campaign.id}},{{adset.id}},{{ad.id}},{{campaign.id}},meta_biocom_광고별칭,{{campaign.id}},{{adset.id}},{{ad.id}},utm_source=meta&utm_medium=paid_social&utm_campaign=120242626179290396&utm_term=120242626179270396&utm_content=120243537994940396&utm_id=120242626179290396&campaign_alias=meta_biocom_송율x음과검4_04_08_04_15&meta_campaign_id=120242626179290396&meta_adset_id=120242626179270396&meta_ad_id=120243537994940396,meta_biocom_송율x음과검4_04_08_04_15
,,,,,P0_동적값미치환_광고별칭템플릿,URL 파라미터에 {{campaign.id}} 또는 meta_biocom_광고별칭이 그대로 있음,URL 파라미터 위치 확인 후 숫자 ID 고정값 또는 정상 치환값으로 교체,36689,1059,21,meta_biocom_igg_260504,120244759209860396,meta_biocom_igg_skin_260429,120244759212190396,meta_biocom_igg_skin_TTSreel1_260429,120244759214660396,ACTIVE,ACTIVE,biocom.kr/igg_store/?idx=85 | www.facebook.com/ads/image/ | www.instagram.com/p/DYBqrxVjJto/,utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&meta_site_source={{site_source_name}}&meta_placement={{placement}},meta,paid_social,{{campaign.id}},{{adset.id}},{{ad.id}},{{campaign.id}},meta_biocom_광고별칭,{{campaign.id}},{{adset.id}},{{ad.id}},utm_source=meta&utm_medium=paid_social&utm_campaign=120244759209860396&utm_term=120244759212190396&utm_content=120244759214660396&utm_id=120244759209860396&campaign_alias=meta_biocom_meta_biocom_igg_skin_ttsreel1_260429&meta_campaign_id=120244759209860396&meta_adset_id=120244759212190396&meta_ad_id=120244759214660396,meta_biocom_meta_biocom_igg_skin_ttsreel1_260429
